City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,48.31,71,75,8.05,broken clouds
1,Comodoro Rivadavia,AR,-45.8667,-67.5,84.06,21,0,14.97,clear sky
2,Leshukonskoye,RU,64.8989,45.7622,8.2,98,97,2.44,overcast clouds
3,Te Anau,NZ,-45.4167,167.7167,62.02,79,100,4.99,overcast clouds
4,Saint-Augustin,CA,51.226,-58.6502,23.72,89,100,23.73,overcast clouds
5,Morro Bay,US,35.3658,-120.8499,65.75,23,0,3.0,clear sky
6,Sangar,RU,63.9242,127.4739,-33.21,100,61,2.98,broken clouds
7,Vaini,TO,-21.2,-175.2,86.16,74,40,5.75,scattered clouds
8,Dabat,ET,12.9842,37.765,54.23,70,82,2.57,broken clouds
9,Kapaa,US,22.0752,-159.319,80.58,67,0,4.0,clear sky
10,Mbandaka,CD,0.0487,18.2603,74.08,54,100,2.24,overcast clouds
11,Hutchinson,US,38.0608,-97.9298,18.59,60,100,5.01,overcast clouds
12,Sobolevo,RU,54.4299,31.8996,24.67,97,100,7.92,snow
13,Half Moon Bay,US,37.4636,-122.4286,65.19,29,0,7.0,clear sky
14,Ekimchan,RU,53.0667,132.9667,-27.18,99,27,3.24,scattered clouds
15,Rikitea,PF,-23.1203,-134.9692,78.66,72,100,7.27,overcast clouds
16,Hermanus,ZA,-34.4187,19.2345,65.89,87,4,12.1,clear sky
17,Ushuaia,AR,-54.8,-68.3,44.26,57,75,25.32,broken clouds
18,Port Elizabeth,ZA,-33.918,25.5701,71.1,100,75,8.05,broken clouds
19,Faanui,PF,-16.4833,-151.75,81.14,72,17,19.46,few clouds
20,Mahebourg,MU,-20.4081,57.7,80.26,94,75,31.07,moderate rain
21,Tasiilaq,GL,65.6145,-37.6368,15.96,83,100,3.67,overcast clouds
22,Bambous Virieux,MU,-20.3428,57.7575,80.22,94,75,31.07,moderate rain
23,Albany,US,42.6001,-73.9662,42.67,77,86,1.01,overcast clouds
24,Upernavik,GL,72.7868,-56.1549,-8.32,67,97,9.95,overcast clouds
25,Daru,PG,-9.0763,143.2092,79.41,71,100,6.04,overcast clouds
26,Nikolskoye,RU,59.7035,30.7861,22.89,98,99,0.87,overcast clouds
27,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,94,75,3.44,broken clouds
28,Lebu,CL,-37.6167,-73.65,62.28,83,50,11.03,scattered clouds
29,Zhangjiakou,CN,40.81,114.8794,8.38,67,1,4.94,light snow
30,Yar-Sale,RU,66.8333,70.8333,0.64,97,100,13.38,light snow
31,Batagay-Alyta,RU,67.8006,130.4114,-25.6,99,62,3.74,broken clouds
32,Chokurdakh,RU,70.6333,147.9167,-21.08,98,93,7.23,overcast clouds
33,Makakilo City,US,21.3469,-158.0858,80.69,59,0,8.05,clear sky
34,Azare,NG,11.6765,10.1948,63.95,15,38,9.33,scattered clouds
35,Vila Velha,BR,-20.3297,-40.2925,80.55,82,0,4.61,clear sky
36,Paamiut,GL,61.994,-49.6678,9.64,62,100,17.83,overcast clouds
