City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,46.51,61,40,24.16,CL,2022-02-02 02:23:49
1,Ushuaia,-54.8,-68.3,42.46,65,40,37.98,AR,2022-02-02 02:20:34
2,Thompson,55.7435,-97.8558,-23.64,69,0,6.91,CA,2022-02-02 02:23:50
3,Atuona,-9.8,-139.0333,78.87,72,8,18.41,PF,2022-02-02 02:23:50
4,Tigil,57.8,158.6667,24.22,79,98,9.06,RU,2022-02-02 02:23:51
5,Albany,42.6001,-73.9662,30.78,70,100,3.0,US,2022-02-02 02:19:30
6,Lagoa,39.05,-27.9833,58.95,71,13,13.33,PT,2022-02-02 02:23:52
7,Isangel,-19.55,169.2667,86.11,79,75,2.3,VU,2022-02-02 02:23:53
8,Hasaki,35.7333,140.8333,48.6,32,0,21.79,JP,2022-02-02 02:23:54
9,Kapaa,22.0752,-159.319,79.12,66,0,4.0,US,2022-02-02 02:23:54
10,Ahipara,-35.1667,173.1667,76.33,63,100,14.99,NZ,2022-02-02 02:23:54
11,Port Elizabeth,-33.918,25.5701,74.1,88,0,2.3,ZA,2022-02-02 02:19:35
12,Nanortalik,60.1432,-45.2371,8.26,68,41,15.48,GL,2022-02-02 02:23:02
13,Tarpon Springs,28.1461,-82.7568,64.11,65,0,3.0,US,2022-02-02 02:23:55
14,Avarua,-21.2078,-159.775,82.45,78,20,11.5,CK,2022-02-02 02:23:56
15,Souillac,-20.5167,57.5167,80.37,94,75,26.46,MU,2022-02-02 02:23:56
16,Tiksi,71.6872,128.8694,-9.4,96,100,6.96,RU,2022-02-02 02:23:57
17,New Norfolk,-42.7826,147.0587,64.65,39,76,3.0,AU,2022-02-02 02:23:57
18,Salisbury,51.0693,-1.7957,50.65,90,100,13.8,GB,2022-02-02 02:23:59
19,Victoria,22.2855,114.1577,61.25,91,100,1.01,HK,2022-02-02 02:21:43
20,Kavieng,-2.5744,150.7967,81.79,74,100,6.08,PG,2022-02-02 02:23:59
21,Hobyo,5.3505,48.5268,77.16,80,100,17.45,SO,2022-02-02 02:24:00
22,Dicabisagan,17.0818,122.4157,76.89,71,89,8.1,PH,2022-02-02 02:24:00
23,Kalemie,-5.9475,29.1947,70.97,86,100,4.43,CD,2022-02-02 02:24:01
24,Port Blair,11.6667,92.75,77.04,78,20,2.3,IN,2022-02-02 02:23:07
25,Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,93,100,38.03,RU,2022-02-02 02:20:55
26,Veraval,20.9,70.3667,68.18,64,0,7.11,IN,2022-02-02 02:24:02
27,Puerto Ayora,-0.7393,-90.3518,74.55,95,100,3.0,EC,2022-02-02 02:24:02
